Timestamp,CPU1 (%),CPU2 (%),CPU3 (%),CPU4 (%),GPU (%),Temp SOC0 (°C),Temp CPU (°C),Temp GPU (°C)
2025-04-22 01:41:13,54,58,45,54,0.0,46.5,47.281,47.5
2025-04-22 01:41:25,42,47,60,54,23.3,46.656,46.906,47.593
2025-04-22 01:41:36,61,57,41,43,40.4,46.593,47.062,47.968
2025-04-22 01:41:47,46,46,52,40,0.0,46.562,47.156,47.531
2025-04-22 01:41:58,48,54,54,48,0.0,46.781,47.062,47.625
2025-04-22 01:42:09,52,50,42,44,0.0,46.656,46.937,47.562
2025-04-22 01:42:20,51,54,47,41,0.0,46.593,47.062,47.437
2025-04-22 01:42:31,48,42,58,56,0.0,46.625,47.25,47.656
2025-04-22 01:42:42,47,50,63,49,0.0,46.531,47.0,47.562
2025-04-22 01:42:53,57,58,53,44,7.2,46.593,46.937,47.781
2025-04-22 01:43:04,46,57,44,48,0.0,46.562,47.062,47.843
2025-04-22 01:43:15,52,52,45,46,9.1,46.562,47.281,47.687
2025-04-22 01:43:26,47,45,50,53,50.4,46.75,46.781,47.593
2025-04-22 01:43:37,56,32,53,29,0.0,46.5,47.031,47.812
2025-04-22 01:43:48,45,41,50,57,43.7,46.531,47.187,47.656
2025-04-22 01:43:59,37,58,53,32,0.0,46.5,47.156,47.562
2025-04-22 01:44:10,63,47,41,50,7.5,46.531,47.062,47.75
2025-04-22 01:44:21,70,40,56,51,7.9,46.656,47.031,47.593
2025-04-22 01:44:32,58,48,44,64,0.0,46.562,46.968,47.937
2025-04-22 01:44:43,67,46,40,42,0.0,46.562,47.312,47.75
2025-04-22 01:44:54,40,45,50,46,53.6,46.781,46.968,47.562
2025-04-22 01:45:05,55,44,57,57,4.9,46.593,47.218,47.593
2025-04-22 01:45:16,51,45,60,60,11.2,46.593,46.968,47.531
2025-04-22 01:45:27,57,53,54,42,35.6,46.593,47.062,47.875
2025-04-22 01:45:38,54,54,51,42,34.0,46.562,46.906,47.437
2025-04-22 01:45:49,48,46,53,69,0.0,46.562,46.906,47.812
2025-04-22 01:46:00,59,56,48,53,0.0,46.531,46.968,47.593
2025-04-22 01:46:11,60,44,53,54,0.0,46.562,46.875,47.375
2025-04-22 01:46:22,44,59,62,50,0.0,46.531,47.125,47.625
2025-04-22 01:46:33,53,42,49,48,0.0,46.781,46.906,47.843
2025-04-22 01:46:44,59,63,49,43,63.1,46.562,46.75,47.5
2025-04-22 01:46:55,56,45,43,65,46.7,46.468,46.843,47.531
2025-04-22 01:47:06,44,57,56,56,0.0,46.531,47.093,47.406
2025-04-22 01:47:17,50,59,46,51,0.0,46.5,46.843,47.531
2025-04-22 01:47:28,53,59,44,63,0.0,46.468,47.062,47.468
2025-04-22 01:47:39,55,51,52,55,0.0,46.468,47.0,47.437
2025-04-22 01:47:50,46,66,72,54,0.0,46.406,46.843,47.562
2025-04-22 01:48:01,62,61,44,50,23.4,46.468,46.843,47.5
2025-04-22 01:48:12,68,65,56,59,39.8,46.5,47.281,47.5
2025-04-22 01:48:23,56,50,54,43,0.0,46.437,47.281,47.906
2025-04-22 01:48:34,44,47,46,57,0.0,46.5,46.718,47.812
2025-04-22 01:48:45,46,59,59,42,0.0,46.406,46.781,47.5
2025-04-22 01:48:56,66,45,44,59,0.0,46.5,46.75,47.593
2025-04-22 01:49:07,74,46,43,45,7.5,46.625,47.0,47.406
2025-04-22 01:49:18,66,53,48,47,0.0,46.531,46.75,47.593
2025-04-22 01:49:29,63,53,42,53,0.0,46.562,46.875,47.593
2025-04-22 01:49:40,59,49,50,58,0.0,46.468,47.218,47.468
2025-04-22 01:49:51,54,61,62,55,0.0,46.5,47.156,47.593
2025-04-22 01:50:02,57,58,59,61,0.0,46.437,46.687,47.5
2025-04-22 01:50:13,58,57,59,46,22.4,46.437,47.062,47.843
2025-04-22 01:50:24,49,54,53,49,0.0,46.468,46.843,47.531
2025-04-22 01:50:35,50,56,54,53,32.0,46.343,47.406,47.5
2025-04-22 01:50:46,55,58,47,47,0.0,46.562,46.687,47.343
2025-04-22 01:50:57,46,48,46,66,0.0,46.468,46.75,47.25
2025-04-22 01:51:08,46,61,42,59,7.5,46.5,46.843,47.343
2025-04-22 01:51:19,58,54,48,62,11.2,46.531,46.875,47.343
2025-04-22 01:51:30,66,39,47,44,0.0,46.406,46.906,47.812
2025-04-22 01:51:41,58,65,49,53,0.0,46.375,46.781,47.281
2025-04-22 01:51:52,55,56,53,80,30.3,46.531,47.062,47.343
2025-04-22 01:52:03,65,51,55,48,9.5,46.593,46.906,47.437
2025-04-22 01:52:14,66,48,49,44,38.6,46.437,47.187,47.25
2025-04-22 01:52:25,45,63,46,61,34.9,46.406,47.125,47.406
2025-04-22 01:52:36,59,49,59,44,0.0,46.5,47.312,47.593
2025-04-22 01:52:47,57,58,60,49,61.4,46.468,46.968,47.25
2025-04-22 01:52:58,52,59,45,53,14.0,46.593,46.812,47.468
2025-04-22 01:53:09,46,59,56,55,0.0,46.437,46.875,47.468
2025-04-22 01:53:20,55,49,44,57,7.0,46.468,47.0,47.312
2025-04-22 01:53:31,56,53,69,52,0.0,46.468,47.062,47.812
2025-04-22 01:53:42,72,51,57,62,33.6,46.375,47.125,47.468
2025-04-22 01:53:53,52,63,47,61,10.7,46.343,47.062,47.593
2025-04-22 01:54:04,56,52,51,56,42.3,46.406,47.031,47.375
2025-04-22 01:54:15,48,59,53,55,0.0,46.562,47.0,47.5
2025-04-22 01:54:26,55,57,51,53,0.0,46.437,46.781,47.687
2025-04-22 01:54:37,57,48,53,45,0.0,46.531,46.781,47.75
2025-04-22 01:54:48,55,43,43,47,0.0,46.625,46.656,47.375
2025-04-22 01:54:59,67,50,46,44,0.0,46.437,46.968,47.468
2025-04-22 01:55:11,55,48,62,63,0.0,46.5,46.812,47.468
2025-04-22 01:55:22,62,56,49,59,0.0,46.5,47.062,47.812
2025-04-22 01:55:32,75,75,56,58,0.0,46.531,46.937,47.593
2025-04-22 01:55:43,45,42,59,55,0.0,46.593,46.781,47.437
2025-04-22 01:55:55,75,55,42,52,0.0,46.687,46.843,47.406
2025-04-22 01:56:05,56,43,51,63,51.2,46.531,46.906,47.468
2025-04-22 01:56:17,54,52,49,63,0.0,46.375,46.812,47.468
2025-04-22 01:56:28,59,60,43,46,0.0,46.281,46.875,47.375
2025-04-22 01:56:39,43,38,59,63,0.0,46.468,47.062,47.625
2025-04-22 01:56:50,67,39,42,47,0.0,46.5,46.718,47.312
2025-04-22 01:57:01,58,54,58,46,10.8,46.562,47.062,47.687
2025-04-22 01:57:12,36,37,94,30,0.0,46.5,46.687,47.625
2025-04-22 01:57:23,62,59,61,54,13.3,46.437,46.937,47.375
2025-04-22 01:57:34,66,49,49,43,47.8,46.5,46.718,47.625
2025-04-22 01:57:45,57,48,57,61,0.0,46.625,46.843,47.375
2025-04-22 01:57:56,52,55,55,56,0.0,46.437,46.718,47.5
2025-04-22 01:58:07,55,55,62,49,0.0,46.437,46.937,47.531
2025-04-22 01:58:18,58,56,55,49,0.0,46.5,46.75,47.468
2025-04-22 01:58:29,52,47,52,55,0.0,46.468,47.062,47.343
2025-04-22 01:58:40,47,39,57,56,0.0,46.5,46.937,47.437
2025-04-22 01:58:51,55,55,57,58,0.0,46.406,46.781,47.312
2025-04-22 01:59:02,56,56,53,50,41.1,46.437,47.031,47.656
2025-04-22 01:59:13,65,64,60,68,0.0,46.5,47.437,47.437
2025-04-22 01:59:24,54,54,49,64,7.9,46.5,47.125,47.406
2025-04-22 01:59:35,50,53,40,66,0.0,46.562,46.718,47.531
2025-04-22 01:59:46,54,60,55,51,0.0,46.562,46.593,47.343
2025-04-22 01:59:57,56,48,55,54,7.8,46.406,46.781,47.687
2025-04-22 02:00:08,56,58,57,73,69.1,46.593,46.906,47.5
2025-04-22 02:00:19,49,47,66,52,43.3,46.406,46.75,47.281
2025-04-22 02:00:30,58,53,47,54,0.0,46.5,46.843,47.75
2025-04-22 02:00:41,54,45,46,57,0.0,46.375,46.843,47.718
2025-04-22 02:00:52,67,50,63,52,35.6,46.531,47.093,47.406
2025-04-22 02:01:03,63,54,55,57,56.9,46.312,47.062,47.343
2025-04-22 02:01:14,47,52,47,53,0.0,46.281,46.5,47.406
2025-04-22 02:01:25,45,45,50,49,0.0,46.406,46.75,47.343
2025-04-22 02:01:36,69,46,48,42,0.0,46.593,46.843,47.281
2025-04-22 02:01:47,72,43,44,50,0.0,46.593,46.687,47.5
2025-04-22 02:01:58,60,48,46,61,11.2,46.406,47.062,47.25
2025-04-22 02:02:09,49,51,53,62,30.8,46.25,46.75,47.437
2025-04-22 02:02:20,44,43,40,97,0.0,46.437,47.062,47.343
2025-04-22 02:02:31,42,46,40,73,0.0,46.375,47.093,47.25
2025-04-22 02:02:42,66,49,49,54,0.0,46.437,47.093,47.312
2025-04-22 02:02:53,61,47,51,55,7.6,46.437,47.0,47.437
2025-04-22 02:03:04,64,72,62,65,63.6,46.312,47.312,47.281
2025-04-22 02:03:15,60,53,49,57,16.0,46.343,46.937,47.281
2025-04-22 02:03:26,55,52,64,55,0.0,46.5,46.593,47.218
2025-04-22 02:03:37,56,63,62,48,46.8,46.406,46.625,47.375
2025-04-22 02:03:48,52,54,57,47,26.0,46.375,46.562,47.468
2025-04-22 02:03:59,59,55,57,58,3.1,46.312,46.75,47.187
2025-04-22 02:04:10,54,46,50,57,25.7,46.312,47.062,47.218
2025-04-22 02:04:21,59,47,44,55,42.1,46.281,46.718,47.343
2025-04-22 02:04:32,50,70,54,68,10.6,46.281,47.156,47.531
2025-04-22 02:04:44,57,50,47,43,0.0,46.437,46.937,47.5
2025-04-22 02:04:55,53,47,51,57,0.0,46.343,46.812,47.312
2025-04-22 02:05:06,60,48,49,58,0.0,46.468,46.875,47.5
2025-04-22 02:05:17,52,67,56,70,0.0,46.281,46.656,47.718
2025-04-22 02:05:28,63,52,48,52,17.6,46.468,46.875,47.187
2025-04-22 02:05:39,63,56,53,65,41.0,46.312,46.875,47.125
2025-04-22 02:05:50,50,44,47,68,0.0,46.375,46.593,47.562
2025-04-22 02:06:01,62,52,59,48,8.2,46.125,46.5,47.125
2025-04-22 02:06:12,58,56,57,57,0.0,46.437,46.718,47.312
2025-04-22 02:06:23,59,63,51,50,15.0,46.25,46.593,47.468
